Episodio	Matriz	Puntos	Reglas Materiales(%)	Reglas formales(%)
			Primos	Impares	Total	Sumas	Serie pares	Pareja pares	Múltiplo de 6	Trios asimétricos	Total
1	1	33,76	98,72	1,27	100	0	0	0	0	0	0
	2	21,07	79,09	8,26	87,35	0	0	0	12,65	0	12,65
2	1	41,46	93,79	1,04	94,82	0	0	0	1,61	3,57	5,18
	2	19,24	86,64	2,20	88,84	0	0	0	3,47	7,69	11,16
3	1	18,67	59,51	6,82	66,33	22,95	7,14	0	3,57	0	33,67
	2	33,16	83,77	1,29	85,06	12,92	0	0	2,01	0	14,94
4	1	40,73	81,84	1,09	82,93	10,52	0	0	3,27	3,27	17,06
	2	14,58	76,23	9,04	85,27	0	0	0	4,57	10,15	14,73
5	1	32,25	86,12	2,63	88,75	0	0	0	2,07	9,18	11,24
	2	27,84	79,81	0	79,82	15,39	4,79	0	0	0	20,18
6	1	28,87	96,20	1,48	97,69	0	0	0	1,31	0	2,31
	2	8,52	86,99	5,18	92,17	0	0	0	7,83	0	7,83
